강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 고창
기간 : 20160101~20200928

날짜,지점,강수량(mm)
2017-09-23,172,
2017-09-24,172,
2017-09-25,172,
2017-09-26,172,0
2017-09-27,172,17.6
2017-09-28,172,
2017-09-29,172,
2017-09-30,172,
2017-10-01,172,19.5
2017-10-02,172,2.2
2017-10-03,172,
2017-10-04,172,
2017-10-05,172,6
2017-10-06,172,5.3
2017-10-07,172,
2017-10-08,172,
2017-10-09,172,
2017-10-10,172,
2017-10-11,172,1.1
2017-10-12,172,4.6
2017-10-13,172,
2017-10-14,172,
2017-10-15,172,0
2017-10-16,172,0
2017-10-17,172,
2017-10-18,172,0
2017-10-19,172,
2017-10-20,172,
2017-10-21,172,
2017-10-22,172,
2017-10-23,172,
2017-10-24,172,
2017-10-25,172,
2017-10-26,172,
2017-10-27,172,
2017-10-28,172,
2017-10-29,172,
2017-10-30,172,
2017-10-31,172,
2017-11-01,172,
2017-11-02,172,
2017-11-03,172,0.4
2017-11-04,172,
2017-11-05,172,
2017-11-06,172,
2017-11-07,172,
2017-11-08,172,1.9
2017-11-09,172,
2017-11-10,172,0.8
2017-11-11,172,
2017-11-12,172,
2017-11-13,172,
2017-11-14,172,0
2017-11-15,172,0
2017-11-16,172,0
2017-11-17,172,0.5
2017-11-18,172,
2017-11-19,172,
2017-11-20,172,
2017-11-21,172,
2017-11-22,172,0
2017-11-23,172,0.2
2017-11-24,172,0.3
2017-11-25,172,
2017-11-26,172,
2017-11-27,172,
2017-11-28,172,
2017-11-29,172,0
2017-11-30,172,
2017-12-01,172,
2017-12-02,172,
2017-12-03,172,
2017-12-04,172,1.9
2017-12-05,172,0.7
2017-12-06,172,
2017-12-07,172,1.4
2017-12-08,172,5.2
2017-12-09,172,0
2017-12-10,172,4.3
2017-12-11,172,0.4
2017-12-12,172,0.5
2017-12-13,172,
2017-12-14,172,
2017-12-15,172,
2017-12-16,172,3.1
2017-12-17,172,1.6
2017-12-18,172,0
2017-12-19,172,0.9
2017-12-20,172,2
2017-12-21,172,0
2017-12-22,172,
2017-12-23,172,
2017-12-24,172,21.7
2017-12-25,172,0
2017-12-26,172,0.2
2017-12-27,172,
2017-12-28,172,
2017-12-29,172,0
2017-12-30,172,0.8
2017-12-31,172,0
2018-01-01,172,
2018-01-02,172,
2018-01-03,172,
2018-01-04,172,
2018-01-05,172,
2018-01-06,172,
2018-01-07,172,0.5
2018-01-08,172,2.7
2018-01-09,172,1.9
2018-01-10,172,14.3
2018-01-11,172,5.4
2018-01-12,172,0.4
2018-01-13,172,0
2018-01-14,172,
2018-01-15,172,
2018-01-16,172,11.9
2018-01-17,172,4.5
2018-01-18,172,
2018-01-19,172,
2018-01-20,172,
2018-01-21,172,
2018-01-22,172,0.6
2018-01-23,172,0.1
2018-01-24,172,0.2
2018-01-25,172,0.1
2018-01-26,172,0.1
2018-01-27,172,
2018-01-28,172,0.3
2018-01-29,172,0.8
2018-01-30,172,0.2
2018-01-31,172,
2018-02-01,172,
2018-02-02,172,
2018-02-03,172,2.4
2018-02-04,172,7.6
2018-02-05,172,0.5
2018-02-06,172,2.4
2018-02-07,172,0
2018-02-08,172,
2018-02-09,172,
2018-02-10,172,
2018-02-11,172,1.8
2018-02-12,172,2.9
2018-02-13,172,0
2018-02-14,172,
2018-02-15,172,
2018-02-16,172,
2018-02-17,172,
2018-02-18,172,
2018-02-19,172,
2018-02-20,172,
2018-02-21,172,
2018-02-22,172,
2018-02-23,172,
2018-02-24,172,
2018-02-25,172,
2018-02-26,172,
2018-02-27,172,
2018-02-28,172,30.5
2018-03-01,172,0
2018-03-02,172,
2018-03-03,172,
2018-03-04,172,8.5
2018-03-05,172,3.7
2018-03-06,172,
2018-03-07,172,3.5
2018-03-08,172,10.9
2018-03-09,172,
2018-03-10,172,
2018-03-11,172,
2018-03-12,172,
2018-03-13,172,
2018-03-14,172,
2018-03-15,172,18
2018-03-16,172,0.1
2018-03-17,172,
2018-03-18,172,15
2018-03-19,172,7.1
2018-03-20,172,1.4
2018-03-21,172,9.4
2018-03-22,172,
2018-03-23,172,
2018-03-24,172,
2018-03-25,172,
2018-03-26,172,
2018-03-27,172,
2018-03-28,172,
2018-03-29,172,
2018-03-30,172,
2018-03-31,172,
2018-04-01,172,0
2018-04-02,172,
2018-04-03,172,
2018-04-04,172,8.9
2018-04-05,172,13.7
2018-04-06,172,23.3
2018-04-07,172,0.3
2018-04-08,172,0.2
2018-04-09,172,
2018-04-10,172,0.6
2018-04-11,172,4.7
2018-04-12,172,
2018-04-13,172,0
2018-04-14,172,16.9
2018-04-15,172,
2018-04-16,172,
2018-04-17,172,
2018-04-18,172,
2018-04-19,172,
2018-04-20,172,
2018-04-21,172,
2018-04-22,172,5.9
2018-04-23,172,19.7
2018-04-24,172,7.8
2018-04-25,172,
2018-04-26,172,
2018-04-27,172,
2018-04-28,172,
2018-04-29,172,
2018-04-30,172,
2018-05-01,172,0.1
2018-05-02,172,2.3
2018-05-03,172,0
2018-05-04,172,
2018-05-05,172,0
2018-05-06,172,8.3
2018-05-07,172,22.9
2018-05-08,172,
2018-05-09,172,
2018-05-10,172,
2018-05-11,172,
2018-05-12,172,10.3
2018-05-13,172,3.2
2018-05-14,172,
2018-05-15,172,0
2018-05-16,172,
2018-05-17,172,0.6
2018-05-18,172,0.6
2018-05-19,172,0.4
2018-05-20,172,
2018-05-21,172,
2018-05-22,172,7.8
2018-05-23,172,7.7
2018-05-24,172,
2018-05-25,172,
2018-05-26,172,
2018-05-27,172,
2018-05-28,172,
2018-05-29,172,
2018-05-30,172,
2018-05-31,172,
2018-06-01,172,
2018-06-02,172,
2018-06-03,172,
2018-06-04,172,0
2018-06-05,172,0.3
2018-06-06,172,
2018-06-07,172,
2018-06-08,172,
2018-06-09,172,0
2018-06-10,172,0
2018-06-11,172,
2018-06-12,172,
2018-06-13,172,
2018-06-14,172,
2018-06-15,172,
2018-06-16,172,
2018-06-17,172,
2018-06-18,172,
2018-06-19,172,3.2
2018-06-20,172,
2018-06-21,172,
2018-06-22,172,
2018-06-23,172,
2018-06-24,172,
2018-06-25,172,
2018-06-26,172,0.7
2018-06-27,172,69.3
2018-06-28,172,58.8
2018-06-29,172,0.6
2018-06-30,172,35.5
2018-07-01,172,75.3
2018-07-02,172,48.5
2018-07-03,172,
2018-07-04,172,0.2
2018-07-05,172,50.3
2018-07-06,172,8
2018-07-07,172,0
2018-07-08,172,
2018-07-09,172,1.4
2018-07-10,172,
2018-07-11,172,
2018-07-12,172,
2018-07-13,172,
2018-07-14,172,
2018-07-15,172,
2018-07-16,172,
2018-07-17,172,
2018-07-18,172,
2018-07-19,172,
2018-07-20,172,
2018-07-21,172,
2018-07-22,172,
2018-07-23,172,
2018-07-24,172,
2018-07-25,172,
2018-07-26,172,
2018-07-27,172,
2018-07-28,172,
2018-07-29,172,
2018-07-30,172,0
2018-07-31,172,
2018-08-01,172,
2018-08-02,172,
2018-08-03,172,
2018-08-04,172,
2018-08-05,172,
2018-08-06,172,
2018-08-07,172,
2018-08-08,172,
2018-08-09,172,
2018-08-10,172,3.5
2018-08-11,172,9.7
2018-08-12,172,
2018-08-13,172,
2018-08-14,172,
2018-08-15,172,
2018-08-16,172,
2018-08-17,172,
2018-08-18,172,
2018-08-19,172,
2018-08-20,172,
2018-08-21,172,
2018-08-22,172,0
2018-08-23,172,100
2018-08-24,172,14.9
2018-08-25,172,3.5
2018-08-26,172,39.6
2018-08-27,172,40.6
2018-08-28,172,0
2018-08-29,172,2.9
2018-08-30,172,4.8
2018-08-31,172,50.1
2018-09-01,172,0
2018-09-02,172,
2018-09-03,172,57.7
2018-09-04,172,22
2018-09-05,172,
2018-09-06,172,0.1
2018-09-07,172,1.2
2018-09-08,172,
2018-09-09,172,
2018-09-10,172,
2018-09-11,172,
2018-09-12,172,
2018-09-13,172,1.3
2018-09-14,172,1.5
2018-09-15,172,1.4
2018-09-16,172,1.8
2018-09-17,172,0
2018-09-18,172,
2018-09-19,172,0
2018-09-20,172,1.2
2018-09-21,172,29.1
2018-09-22,172,0.2
2018-09-23,172,0.5
2018-09-24,172,
2018-09-25,172,
2018-09-26,172,
2018-09-27,172,
2018-09-28,172,0.1
2018-09-29,172,
2018-09-30,172,0
2018-10-01,172,1.3
2018-10-02,172,
2018-10-03,172,
2018-10-04,172,0.1
2018-10-05,172,98.6
2018-10-06,172,28
2018-10-07,172,
2018-10-08,172,
2018-10-09,172,
2018-10-10,172,2.5
2018-10-11,172,0
2018-10-12,172,
2018-10-13,172,
2018-10-14,172,
2018-10-15,172,
2018-10-16,172,
2018-10-17,172,
2018-10-18,172,
2018-10-19,172,
2018-10-20,172,
2018-10-21,172,
2018-10-22,172,
2018-10-23,172,1.5
2018-10-24,172,
2018-10-25,172,
2018-10-26,172,10.4
2018-10-27,172,2.6
2018-10-28,172,0.6
2018-10-29,172,5
2018-10-30,172,
2018-10-31,172,0
2018-11-01,172,
2018-11-02,172,
2018-11-03,172,
2018-11-04,172,
2018-11-05,172,
2018-11-06,172,
2018-11-07,172,3.9
2018-11-08,172,28.1
2018-11-09,172,0.4
2018-11-10,172,
2018-11-11,172,5.6
2018-11-12,172,0
2018-11-13,172,
2018-11-14,172,
2018-11-15,172,
2018-11-16,172,1.9
